date,nk_name,nk_idx,amrita_type,amrita_start
2026-03-19,UtBhadra,25,Ra,23:39
2026-03-20,PvBhadra,24,Ra,01:08
2026-03-21,UtBhadra,25,Ra,18:35
2026-03-21,UtBhadra,25,Di,11:43
2026-03-28,UtBhadra,25,Di,09:48
2026-03-29,Ashlesha,8,Di,13:38
2026-03-30,Unknown,-1,Di,12:23
2026-04-02,Hasta,12,Di,09:58
2026-04-03,Chitra,13,Di,10:49
2026-04-05,Revati,26,Di,10:00
2026-04-06,Anuradha,16,Di,13:10
2026-04-07,Jyeshtha,17,Di,17:04
2026-04-08,Mula,18,Ra,22:20
2026-04-09,PvAshadha,19,Ra,02:28
2026-04-10,PvAshadha,19,Ra,02:46
2026-04-11,UtAshadha,20,Ra,00:08
2026-04-12,Shravana,21,Ra,01:21
2026-04-13,UtBhadra,25,Ra,05:03
2026-04-14,Ashwini,0,Ra,04:27
2026-04-18,Ashwini,0,Ra,04:28
2026-04-19,Bharani,1,Ra,05:10
2026-04-22,Revati,26,Di,17:08
2026-04-23,Revati,26,Ra,22:46
2026-04-24,Ashwini,0,Di,17:54
2026-04-25,Ashlesha,8,Ra,21:24
2026-04-26,Unknown,-1,Ra,20:04
2026-04-27,Rohini,3,Di,15:24
2026-04-28,Unknown,-1,Di,15:29
2026-04-29,Hasta,12,Di,17:21
2026-04-30,Chitra,13,Ra,18:08
2026-05-01,Swati,14,Di,17:14
2026-05-02,Vishakha,15,Ra,19:18
2026-05-03,Anuradha,16,Ra,19:56
2026-05-04,Anuradha,16,Ra,00:14
2026-05-07,PvAshadha,19,Di,09:36
2026-05-08,UtAshadha,20,Di,10:11
2026-05-09,Shravana,21,Di,07:25
2026-05-10,Dhanishtha,22,Di,08:45
2026-05-11,Krttika,2,Di,12:51
2026-05-12,PvBhadra,24,Di,12:21
2026-05-13,UtBhadra,25,Di,15:19
2026-05-15,UtAshadha,20,Di,09:36
2026-05-16,Shravana,21,Di,07:25
2026-05-17,Krttika,2,Di,13:15
2026-05-18,Krttika,2,Di,10:52
2026-05-18,Krttika,2,Ra,04:02
2026-05-19,Rohini,3,Ra,01:20
2026-05-20,Krttika,2,Ra,05:17
2026-05-22,Krttika,2,Ra,05:17
2026-05-23,Ashlesha,8,Ra,03:53
2026-05-24,Unknown,-1,Ra,23:41
2026-05-25,Rohini,3,Ra,23:00
2026-05-29,Krttika,2,Ra,05:17
2026-06-01,Jyeshtha,17,Di,07:28
2026-06-01,UtAshadha,20,Ra,00:43
2026-06-02,Mula,18,Di,12:40
2026-06-02,UtAshadha,20,Ra,22:21
2026-06-03,PvAshadha,19,Di,16:54
2026-06-03,Ardra,5,Ra,23:54
2026-06-04,UtAshadha,20,Di,17:22
2026-06-04,Rohini,3,Ra,04:20
2026-06-05,Rohini,3,Di,14:55
2026-06-05,Shatabhisha,23,Ra,03:43
2026-06-06,Dhanishtha,22,Di,16:23
2026-06-07,Shatabhisha,23,Ra,20:37
2026-06-07,UtBhadra,25,Di,06:55
2026-06-08,PvBhadra,24,Ra,20:13
2026-06-08,Revati,26,Di,08:49
2026-06-09,UtBhadra,25,Ra,23:20
2026-06-10,Revati,26,Ra,01:07
2026-06-11,Punarvasu,6,Ra,19:33
2026-06-12,Mrgasira,4,Ra,20:38
2026-06-13,Mrgasira,4,Ra,20:38
2026-06-14,Unknown,-1,Ra,21:25
2026-06-15,Rohini,3,Ra,19:05
2026-06-16,Krttika,2,Di,09:28
2026-06-17,Punarvasu,6,Di,15:03
2026-06-18,Pushya,7,Di,09:58
2026-06-19,Mrgasira,4,Di,13:28
2026-06-20,Unknown,-1,Di,12:01
2026-06-22,Ardra,5,Di,06:58
2026-06-27,Anuradha,16,Di,10:24
2026-06-28,Jyeshtha,17,Di,14:37
2026-06-29,Ardra,5,Ra,19:54
2026-06-30,PvAshadha,19,Ra,00:10
2026-07-01,Shatabhisha,23,Di,11:42
2026-07-02,PvBhadra,24,Di,11:33
2026-07-03,UtBhadra,25,Di,14:53
2026-07-04,Revati,26,Di,17:16
2026-07-07,Krttika,2,Di,13:36
2026-07-08,Pushya,7,Di,11:22
2026-07-08,Pushya,7,Ra,04:32
2026-07-16,Ashlesha,8,Ra,21:22
2026-07-17,Unknown,-1,Ra,19:47
2026-07-18,Unknown,-1,Di,15:24
2026-07-19,Unknown,-1,Di,14:33
2026-07-20,Pushya,7,Di,16:09
2026-07-21,Chitra,13,Di,16:36
2026-07-22,Swati,14,Di,15:26
2026-07-23,Mrgasira,4,Di,17:24
2026-07-24,Pushya,7,Di,17:36
2026-07-25,Jyeshtha,17,Ra,21:48
2026-07-26,Jyeshtha,17,Ra,03:06
2026-07-28,PvAshadha,19,Di,07:26
2026-07-29,UtAshadha,20,Di,07:49
2026-07-29,UtAshadha,20,Ra,05:34
2026-07-30,Pushya,7,Di,07:12
2026-08-02,Punarvasu,6,Ra,20:52
2026-08-02,Mrgasira,4,Di,12:43
2026-08-06,Unknown,-1,Di,09:56
2026-08-07,Punarvasu,6,Di,15:25
2026-08-08,Pushya,7,Di,10:13
2026-08-09,Ashlesha,8,Di,13:30
2026-08-10,Unknown,-1,Di,11:49
2026-08-11,Unknown,-1,Di,07:18
2026-08-13,Unknown,-1,Ra,03:40
2026-08-14,Unknown,-1,Ra,23:15
2026-08-16,Hasta,12,Ra,23:42
2026-08-17,Chitra,13,Ra,00:04
2026-08-18,Chitra,13,Ra,22:52
2026-08-19,Swati,14,Ra,00:29
2026-08-20,Vishakha,15,Ra,00:51
2026-08-21,Anuradha,16,Ra,05:06
2026-08-23,Mula,18,Di,10:17
2026-08-24,PvAshadha,19,Di,14:35
2026-08-25,Magha,9,Di,14:35
2026-08-26,Chitra,13,Di,15:13
2026-08-28,Unknown,-1,Di,14:48
2026-08-29,PvBhadra,24,Ra,19:20
2026-09-12,Unknown,-1,Di,06:14
2026-09-13,Hasta,12,Di,07:39
2026-09-14,Chitra,13,Di,07:54
2026-09-15,Swati,14,Di,06:29
2026-09-16,Vishakha,15,Di,08:03
2026-09-17,Anuradha,16,Di,08:15
2026-09-18,Jyeshtha,17,Di,12:18
2026-09-19,Mula,18,Di,17:27
2026-09-20,PvAshadha,19,Ra,21:48
2026-09-22,Unknown,-1,Ra,20:21
2026-09-23,Pushya,7,Ra,22:14
2026-09-24,Dhanishtha,22,Ra,03:08
2026-09-25,Shatabhisha,23,Ra,03:05
2026-09-26,PvAshadha,19,Ra,21:48
2026-09-27,UtBhadra,25,Di,06:41
2026-09-27,UtBhadra,25,Ra,03:33
2026-10-03,Pushya,7,Ra,05:30
2026-10-05,Ashlesha,8,Ra,03:36
2026-10-07,Unknown,-1,Ra,21:42
2026-10-08,Hasta,12,Ra,23:07
2026-10-09,Swati,14,Ra,21:16
2026-10-11,Chitra,13,Di,15:19
2026-10-12,Vishakha,15,Di,13:49
2026-10-13,Vishakha,15,Di,15:17
2026-10-14,Anuradha,16,Di,15:27
2026-10-15,Jyeshtha,17,Ra,19:28
2026-10-16,Mula,18,Ra,00:40
2026-10-17,Ashlesha,8,Ra,05:11
2026-10-18,PvAshadha,19,Ra,05:47
2026-10-19,UtAshadha,20,Ra,03:31
2026-10-20,Unknown,-1,Ra,05:27
2026-10-22,Shatabhisha,23,Di,10:21
2026-10-23,PvBhadra,24,Di,10:30
2026-10-24,Chitra,13,Di,10:30
2026-10-27,Bharani,1,Di,12:51
2026-10-27,Krttika,2,Ra,05:00
2026-11-10,Vishakha,15,Ra,22:44
2026-11-12,Anuradha,16,Ra,02:40
2026-11-13,Vishakha,15,Di,07:54
2026-11-14,PvAshadha,19,Di,12:12
2026-11-15,UtAshadha,20,Di,12:55
2026-11-16,Shravana,21,Di,10:54
2026-11-17,Dhanishtha,22,Di,12:55
2026-11-18,Shatabhisha,23,Ra,18:13
2026-11-19,PvBhadra,24,Di,06:13
2026-11-20,UtBhadra,25,Ra,22:05
2026-11-21,Revati,26,Ra,00:32
2026-11-22,Ashwini,0,Ra,19:22
2026-11-23,Anuradha,16,Ra,20:58
2026-11-24,Vishakha,15,Ra,22:07
2026-11-25,Rohini,3,Ra,19:59
2026-11-26,Mrgasira,4,Di,13:12
2026-11-30,Ashlesha,8,Di,13:41
2026-12-02,Unknown,-1,Di,11:49
2026-12-03,Unknown,-1,Di,07:06
2026-12-03,Unknown,-1,Ra,05:46
2026-12-05,Anuradha,16,Di,06:49
2026-12-06,Ashlesha,8,Di,06:46
2026-12-06,Ashlesha,8,Ra,05:04
2026-12-08,Vishakha,15,Di,06:18
2026-12-09,Jyeshtha,17,Di,10:01
2026-12-10,Mula,18,Di,15:03
2026-12-11,PvAshadha,19,Ra,19:25
2026-12-12,UtAshadha,20,Ra,20:12
2026-12-13,Jyeshtha,17,Ra,18:12
2026-12-14,Dhanishtha,22,Ra,20:21
2026-12-15,Dhanishtha,22,Ra,01:30
2026-12-16,Shatabhisha,23,Ra,01:51
2026-12-17,PvBhadra,24,Ra,05:52
2026-12-18,UtBhadra,25,Ra,04:07
2026-12-19,Revati,26,Ra,03:21
2026-12-20,Ashwini,0,Ra,05:01
2026-12-21,Bharani,1,Di,06:15
2026-12-22,Krttika,2,Ra,04:08
2026-12-25,Punarvasu,6,Ra,00:01
2026-12-26,Pushya,7,Ra,18:41
2026-12-29,Unknown,-1,Di,14:54
2026-12-30,PvAshadha,19,Di,13:30
2027-01-01,Chitra,13,Di,14:18
2027-01-05,Jyeshtha,17,Di,13:29
2027-01-06,PvAshadha,19,Di,13:30
2027-01-07,Hasta,12,Di,14:28
2027-01-08,PvAshadha,19,Ra,03:26
2027-01-09,UtAshadha,20,Ra,01:27
2027-01-14,UtBhadra,25,Di,13:21
2027-01-15,Ashwini,0,Di,11:20
2027-01-17,Jyeshtha,17,Di,12:47
2027-01-18,UtAshadha,20,Di,14:07
2027-01-23,Pushya,7,Ra,05:46
2027-01-27,Shravana,21,Ra,22:09
2027-01-28,UtBhadra,25,Di,13:21
2027-01-29,Shravana,21,Di,15:58
2027-01-29,Swati,14,Ra,19:58
2027-02-01,Anuradha,16,Ra,00:27
2027-02-03,Jyeshtha,17,Ra,05:24
2027-02-04,PvAshadha,19,Di,09:49
2027-02-07,Dhanishtha,22,Di,10:54
2027-02-08,Shatabhisha,23,Di,16:18
2027-02-09,PvBhadra,24,Di,16:53
2027-02-10,UtBhadra,25,Ra,21:09
2027-02-11,Revati,26,Ra,23:58
2027-02-12,Ashwini,0,Ra,19:01
2027-02-15,Krttika,2,Ra,22:17
2027-02-16,Rohini,3,Ra,20:19
2027-02-17,Mrgasira,4,Di,13:50
2027-02-18,Ardra,5,Di,10:56
2027-02-19,Unknown,-1,Di,16:21
2027-02-20,Pushya,7,Di,11:01
2027-02-21,UtAshadha,20,Di,11:55
2027-02-21,UtAshadha,20,Ra,05:27
2027-03-09,PvBhadra,24,Ra,04:49
2027-03-11,Revati,26,Di,07:49
2027-03-11,Revati,26,Ra,02:57
2027-03-18,Punarvasu,6,Ra,00:32
2027-03-19,Pushya,7,Ra,19:09
2027-03-20,Ashlesha,8,Ra,22:03
2027-03-21,Unknown,-1,Ra,19:54
2027-03-22,Unknown,-1,Di,14:57
2027-03-24,Chitra,13,Di,13:28
2027-03-25,Unknown,-1,Di,13:55
2027-03-29,UtBhadra,25,Di,15:22
2027-03-29,PvBhadra,24,Ra,19:53
2027-03-30,PvAshadha,19,Ra,00:07
2027-04-01,UtAshadha,20,Ra,00:58
2027-04-05,PvBhadra,24,Di,07:42
